  Event Name,       Type,     Event ID,    Version,    Channel,      Level,     Opcode,       Task,            Keyword,        PID,        TID,     Processor Number,  Instance ID,   Parent Instance ID,                              Activity ID,                      Related Activity ID,           Clock-Time, Kernel(ms),   User(ms), User Data
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00001BF4, 0x00004DB8,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561371673532,        315,         90,     14, "\_SB.ATKD.WMNB", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00001BF4, 0x00004DB8,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561371675237,        315,         90,     14, "\_SB.ATKD.WMNB", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00001BF4, 0x00004DB8,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561371764376,        330,         90,     14, "\_SB.ATKD.WMNB", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00001BF4, 0x00004DB8,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561371773588,        330,         90,     14, "\_SB.ATKD.WMNB", "finished ",                1
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000010,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561389286254,      48495,          0,     24, "\_SB.PC00.XHCI.RHUB._PS2", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                   11,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561389289389,      30345,          0,     19, "\_SB.PC00.XHCI._ADR", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                   11,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561389289712,      30345,          0,     19, "\_SB.PC00.XHCI._ADR", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                   11,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561389289738,      30345,          0,     19, "\_SB.PC00.XHCI._ADR", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                   11,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561389289945,      30345,          0,     19, "\_SB.PC00.XHCI._ADR", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                   11,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561389290111,      30345,          0,     24, "\_SB.PC00.XHCI.RHUB._PS2", "finished ",                1
