  Event Name,       Type,     Event ID,    Version,    Channel,      Level,     Opcode,       Task,            Keyword,        PID,        TID,     Processor Number,  Instance ID,   Parent Instance ID,                              Activity ID,                      Related Activity ID,           Clock-Time, Kernel(ms),   User(ms), User Data
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x000054BC,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027290941079,       8550,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x000054BC,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027290942332,       8550,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "finished ",                1
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x000054BC,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027290942359,       8550,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x000054BC,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027290943335,       8550,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00005138,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027301042118,       9000,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00005138,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027301043887,       9000,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00005138,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027301043980,       9000,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00005138,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027301050669,       9000,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000010,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027315051227,       7125,          0,     19, "\_SB.PC00.GFX0._PS0", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x0000022C,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027315051505,        450,          0,     19, "\_SB.PC00.GFX0._PS0", "finished ",                0
